,Index,Type,Start,End,Duration,Start Condition,Start Location,End Condition,Given,M,H
0,0,Sleep,28/02/2024,28/02/2024 00:00,00:30,,,,30,30,0
1,3,Sleep,27/02/2024,27/02/2024 08:58,00:31,,,,31,31,0
2,15,Sleep,26/02/2024,26/02/2024 15:10,00:30,,,,30,30,0
3,20,Sleep,26/02/2024,26/02/2024 11:57,01:47,,,,107,47,1
4,24,Sleep,26/02/2024,26/02/2024 06:51,00:57,,,,57,57,0
5,35,Sleep,25/02/2024,25/02/2024 15:51,01:11,,,,71,11,1
6,37,Sleep,25/02/2024,25/02/2024 13:28,00:07,,,,7,7,0
7,41,Sleep,25/02/2024,25/02/2024 10:41,02:05,,,,125,5,2
8,51,Sleep,24/02/2024,24/02/2024 16:10,01:14,,,,74,14,1
9,56,Sleep,24/02/2024,24/02/2024 07:46,00:46,,,,46,46,0
10,64,Sleep,23/02/2024,23/02/2024 17:18,01:13,,,,73,13,1
11,66,Sleep,23/02/2024,23/02/2024 15:56,00:43,,,,43,43,0
12,68,Sleep,23/02/2024,23/02/2024 13:22,00:11,,,,11,11,0
13,70,Sleep,23/02/2024,23/02/2024 12:54,00:33,,,,33,33,0
14,73,Sleep,23/02/2024,23/02/2024 10:02,00:32,,,,32,32,0
15,83,Sleep,22/02/2024,22/02/2024 16:54,00:37,,,,37,37,0
16,86,Sleep,22/02/2024,22/02/2024 13:51,00:30,,,,30,30,0
17,89,Sleep,22/02/2024,22/02/2024 08:46,00:30,,,,30,30,0
18,99,Sleep,21/02/2024,21/02/2024 16:45,00:33,,,,33,33,0
19,102,Sleep,21/02/2024,21/02/2024 13:39,01:11,,,,71,11,1
20,105,Sleep,21/02/2024,21/02/2024 10:22,00:18,,,,18,18,0
21,117,Sleep,20/02/2024,20/02/2024 15:13,00:40,,,,40,40,0
22,118,Sleep,20/02/2024,20/02/2024 14:31,00:48,,,,48,48,0
23,123,Sleep,20/02/2024,20/02/2024 10:35,01:28,,,,88,28,1
24,132,Sleep,19/02/2024,19/02/2024 15:21,02:04,,,,124,4,2
25,135,Sleep,19/02/2024,19/02/2024 11:15,00:32,,,,32,32,0
26,138,Sleep,19/02/2024,19/02/2024 08:23,00:49,,,,49,49,0
27,149,Sleep,18/02/2024,18/02/2024 13:32,00:49,,,,49,49,0
28,152,Sleep,18/02/2024,18/02/2024 10:15,00:11,,,,11,11,0
29,154,Sleep,18/02/2024,18/02/2024 09:53,01:35,,,,95,35,1
30,166,Sleep,17/02/2024,17/02/2024 15:57,01:25,,,,85,25,1
31,171,Sleep,17/02/2024,17/02/2024 10:47,01:05,,,,65,5,1
32,182,Sleep,16/02/2024,16/02/2024 15:48,01:56,,,,116,56,1
33,185,Sleep,16/02/2024,16/02/2024 12:00,00:30,,,,30,30,0
34,188,Sleep,16/02/2024,16/02/2024 09:25,00:43,,,,43,43,0
35,200,Sleep,15/02/2024,15/02/2024 15:23,01:48,,,,108,48,1
36,205,Sleep,15/02/2024,15/02/2024 10:42,01:33,,,,93,33,1
37,213,Sleep,14/02/2024,14/02/2024 17:23,00:32,,,,32,32,0
38,218,Sleep,14/02/2024,14/02/2024 13:25,01:14,,,,74,14,1
39,222,Sleep,14/02/2024,14/02/2024 09:10,01:32,,,,92,32,1
40,232,Sleep,13/02/2024,13/02/2024 16:51,01:17,,,,77,17,1
41,236,Sleep,13/02/2024,13/02/2024 12:50,01:16,,,,76,16,1
42,239,Sleep,13/02/2024,13/02/2024 08:53,00:32,,,,32,32,0
43,250,Sleep,12/02/2024,12/02/2024 17:04,02:32,,,,152,32,2
44,253,Sleep,12/02/2024,12/02/2024 11:59,00:37,,,,37,37,0
45,256,Sleep,12/02/2024,12/02/2024 09:03,00:40,,,,40,40,0
46,267,Sleep,11/02/2024,11/02/2024 16:33,00:48,,,,48,48,0
47,269,Sleep,11/02/2024,11/02/2024 15:39,00:56,,,,56,56,0
48,273,Sleep,11/02/2024,11/02/2024 11:33,01:22,,,,82,22,1
49,287,Sleep,10/02/2024,10/02/2024 13:38,00:32,,,,32,32,0
50,292,Sleep,10/02/2024,10/02/2024 10:11,01:11,,,,71,11,1
51,305,Sleep,09/02/2024,09/02/2024 14:20,00:40,,,,40,40,0
52,308,Sleep,09/02/2024,09/02/2024 10:48,01:22,,,,82,22,1
53,318,Sleep,08/02/2024,08/02/2024 16:36,00:32,,,,32,32,0
54,322,Sleep,08/02/2024,08/02/2024 12:54,00:49,,,,49,49,0
55,324,Sleep,08/02/2024,08/02/2024 11:43,00:38,,,,38,38,0
56,334,Sleep,07/02/2024,07/02/2024 18:20,00:34,,,,34,34,0
57,337,Sleep,07/02/2024,07/02/2024 14:51,01:17,,,,77,17,1
58,342,Sleep,07/02/2024,07/02/2024 10:29,01:00,,,,60,0,1
59,351,Sleep,06/02/2024,06/02/2024 18:22,00:36,,,,36,36,0
60,356,Sleep,06/02/2024,06/02/2024 13:53,00:39,,,,39,39,0
61,360,Sleep,06/02/2024,06/02/2024 10:20,01:35,,,,95,35,1
62,369,Sleep,05/02/2024,05/02/2024 17:12,00:39,,,,39,39,0
63,374,Sleep,05/02/2024,05/02/2024 13:25,00:38,,,,38,38,0
64,376,Sleep,05/02/2024,05/02/2024 10:33,00:32,,,,32,32,0
65,388,Sleep,04/02/2024,04/02/2024 16:54,01:08,,,,68,8,1
66,391,Sleep,04/02/2024,04/02/2024 13:40,00:15,,,,15,15,0
67,395,Sleep,04/02/2024,04/02/2024 09:51,00:36,,,,36,36,0
68,396,Sleep,04/02/2024,04/02/2024 09:08,01:05,,,,65,5,1
69,410,Sleep,03/02/2024,03/02/2024 16:05,00:40,,,,40,40,0
70,412,Sleep,03/02/2024,03/02/2024 13:05,00:40,,,,40,40,0
71,415,Sleep,03/02/2024,03/02/2024 09:52,00:50,,,,50,50,0
72,425,Sleep,02/02/2024,02/02/2024 16:15,01:01,,,,61,1,1
73,429,Sleep,02/02/2024,02/02/2024 12:25,00:30,,,,30,30,0
74,431,Sleep,02/02/2024,02/02/2024 09:46,01:11,,Nursing,,71,11,1
75,441,Sleep,01/02/2024,01/02/2024 17:44,00:54,,,,54,54,0
76,446,Sleep,01/02/2024,01/02/2024 14:03,00:47,,,,47,47,0
77,449,Sleep,01/02/2024,01/02/2024 10:23,01:37,,,,97,37,1
78,479,Sleep,30/01/2024,30/01/2024 09:33,00:50,,,,50,50,0
79,493,Sleep,29/01/2024,29/01/2024 13:22,01:02,,,,62,2,1
80,496,Sleep,29/01/2024,29/01/2024 09:48,00:42,,,,42,42,0
81,510,Sleep,28/01/2024,28/01/2024 15:50,00:45,,,,45,45,0
82,514,Sleep,28/01/2024,28/01/2024 12:30,00:30,,,,30,30,0
83,516,Sleep,28/01/2024,28/01/2024 09:39,00:39,,,,39,39,0
84,545,Sleep,26/01/2024,26/01/2024 12:45,00:45,,,,45,45,0
85,547,Sleep,26/01/2024,26/01/2024 09:54,01:35,,,,95,35,1
86,561,Sleep,25/01/2024,25/01/2024 15:05,02:05,,,,125,5,2
87,565,Sleep,25/01/2024,25/01/2024 09:49,00:48,,,,48,48,0
88,574,Sleep,24/01/2024,24/01/2024 16:48,00:57,,,,57,57,0
89,578,Sleep,24/01/2024,24/01/2024 13:05,00:59,,,,59,59,0
90,580,Sleep,24/01/2024,24/01/2024 11:55,00:40,,,,40,40,0
91,584,Sleep,24/01/2024,24/01/2024 08:10,00:55,,,,55,55,0
92,597,Sleep,23/01/2024,23/01/2024 13:16,02:28,,,,148,28,2
93,599,Sleep,23/01/2024,23/01/2024 09:05,00:35,,,,35,35,0
94,608,Sleep,22/01/2024,22/01/2024 16:30,01:36,,,,96,36,1
95,612,Sleep,22/01/2024,22/01/2024 11:29,00:53,,,,53,53,0
96,636,Sleep,20/01/2024,20/01/2024 18:00,00:49,,,,49,49,0
97,639,Sleep,20/01/2024,20/01/2024 14:15,00:28,,,,28,28,0
98,640,Sleep,20/01/2024,20/01/2024 13:41,00:50,,,,50,50,0
99,652,Sleep,19/01/2024,19/01/2024 17:32,00:49,,,,49,49,0
100,656,Sleep,19/01/2024,19/01/2024 13:38,01:51,,,,111,51,1
101,660,Sleep,19/01/2024,19/01/2024 08:49,00:37,,,,37,37,0
102,669,Sleep,18/01/2024,18/01/2024 17:20,00:51,,,,51,51,0
103,672,Sleep,18/01/2024,18/01/2024 13:56,00:37,,,,37,37,0
104,675,Sleep,18/01/2024,18/01/2024 09:56,00:44,,,,44,44,0
105,686,Sleep,17/01/2024,17/01/2024 12:58,01:04,,,,64,4,1
106,689,Sleep,17/01/2024,17/01/2024 09:53,00:40,,,,40,40,0
107,703,Sleep,16/01/2024,16/01/2024 11:10,01:25,,,,85,25,1
108,713,Sleep,15/01/2024,15/01/2024 15:59,01:47,,,,107,47,1
109,716,Sleep,15/01/2024,15/01/2024 12:14,00:33,,,,33,33,0
110,719,Sleep,15/01/2024,15/01/2024 08:55,00:43,,,,43,43,0
111,727,Sleep,14/01/2024,14/01/2024 16:29,00:44,,,,44,44,0
112,730,Sleep,14/01/2024,14/01/2024 13:49,01:05,,,,65,5,1
113,733,Sleep,14/01/2024,14/01/2024 10:48,00:54,,,,54,54,0
114,745,Sleep,13/01/2024,13/01/2024 12:04,02:04,,,,124,4,2
115,757,Sleep,12/01/2024,12/01/2024 10:35,00:32,,,,32,32,0
116,768,Sleep,11/01/2024,11/01/2024 14:36,01:21,,,,81,21,1
117,772,Sleep,11/01/2024,11/01/2024 07:12,01:07,,,,67,7,1
118,780,Sleep,10/01/2024,10/01/2024 18:38,02:03,,,,123,3,2
119,784,Sleep,10/01/2024,10/01/2024 11:24,01:21,,,,81,21,1
